Price,Year,Mileage,City,State,Make,Model
16555,2014,23573,1411.0,7.0,21.0,473.0
16995,2014,15265,502.0,28.0,27.0,1879.0
39999,2017,25527,1422.0,11.0,46.0,38.0
16900,2011,35988,1704.0,34.0,22.0,2390.0
35998,2015,19534,1324.0,55.0,54.0,1372.0
27695,2015,47704,266.0,39.0,38.0,395.0
9995,2010,120416,2289.0,36.0,21.0,1857.0
15799,2016,41057,2292.0,49.0,54.0,548.0
26991,2015,4594,1300.0,36.0,51.0,1175.0
32975,2017,18360,417.0,51.0,15.0,1141.0
12895,2015,41445,1480.0,1.0,22.0,872.0
38497,2017,108,763.0,55.0,15.0,1035.0
27000,2016,16587,2246.0,11.0,26.0,2866.0
8369,2008,91521,1322.0,13.0,41.0,2228.0
15279,2015,27973,1244.0,32.0,10.0,32.0
11500,2015,41558,498.0,45.0,54.0,730.0
17488,2014,41724,2364.0,2.0,15.0,1806.0
24503,2013,60128,980.0,28.0,15.0,1031.0
20800,2014,11115,1281.0,39.0,21.0,254.0
14500,2015,24881,1210.0,21.0,9.0,1691.0
30750,2016,19963,1290.0,21.0,15.0,1010.0
17593,2014,39049,18.0,40.0,17.0,2626.0
8995,2013,90471,2328.0,3.0,27.0,1873.0
30988,2014,12334,1079.0,11.0,8.0,3003.0
5495,2005,131810,298.0,32.0,21.0,670.0
18977,2013,39946,696.0,5.0,21.0,472.0
11998,2014,18582,1194.0,44.0,41.0,2417.0
14916,2016,14016,991.0,38.0,22.0,862.0
23271,2014,97768,421.0,40.0,11.0,813.0
14900,2017,39832,544.0,5.0,15.0,1215.0
19800,2014,37556,2247.0,3.0,15.0,858.0
7987,2008,78283,1234.0,49.0,49.0,2759.0
36819,2015,12741,76.0,49.0,54.0,2716.0
16488,2015,46265,1941.0,49.0,7.0,1526.0
9032,2008,99746,1801.0,3.0,31.0,2670.0
11999,2012,45323,1765.0,5.0,15.0,1150.0
49994,2017,2545,1049.0,1.0,38.0,1262.0
12000,2014,47499,2548.0,51.0,55.0,1929.0
22235,2017,6644,2558.0,39.0,21.0,254.0
22440,2015,15956,676.0,18.0,54.0,549.0
9987,2014,55573,1778.0,39.0,22.0,872.0
41999,2014,46122,1864.0,54.0,9.0,2452.0
22681,2013,91371,1094.0,2.0,15.0,1023.0
12999,2008,113400,2328.0,3.0,15.0,1014.0
24000,2015,33325,234.0,29.0,21.0,472.0
13750,2014,43969,1290.0,21.0,15.0,2621.0
25998,2016,17927,1078.0,48.0,9.0,929.0
16000,2015,32295,1945.0,46.0,26.0,700.0
13991,2013,82449,1762.0,5.0,22.0,871.0
10999,2014,80699,2118.0,37.0,11.0,322.0
22495,2014,30991,1845.0,35.0,9.0,1411.0
28990,2013,62785,46.0,13.0,54.0,2426.0
16000,2016,26010,793.0,23.0,40.0,1889.0
18990,2014,35050,2548.0,51.0,21.0,258.0
20500,2014,46888,1789.0,18.0,54.0,2781.0
21095,2014,58293,2028.0,5.0,15.0,1014.0
19052,2013,43440,1088.0,36.0,21.0,472.0
28690,2013,57776,1188.0,27.0,17.0,2450.0
21900,2012,97061,1480.0,1.0,17.0,2450.0
13900,2011,75312,953.0,51.0,15.0,852.0
15869,2014,33701,1061.0,32.0,21.0,257.0
11995,2006,93846,2289.0,36.0,30.0,2145.0
23000,2017,18718,1561.0,48.0,27.0,2483.0
65941,2013,30441,287.0,18.0,38.0,2523.0
34900,2015,14565,2163.0,32.0,15.0,1035.0
34821,2016,44241,831.0,11.0,17.0,2450.0
7990,2003,131306,1884.0,32.0,30.0,2145.0
12995,2014,32662,1441.0,5.0,21.0,646.0
28499,2016,32038,806.0,5.0,8.0,2372.0
13430,2016,31616,1079.0,11.0,55.0,354.0
33900,2014,34299,1741.0,18.0,30.0,1281.0
18970,2017,29921,263.0,55.0,41.0,2231.0
19879,2017,20989,787.0,49.0,22.0,2390.0
6175,2010,107844,1598.0,42.0,41.0,2802.0
14965,2015,21169,2478.0,11.0,21.0,259.0
17540,2017,7191,1387.0,13.0,54.0,547.0
58000,2015,32260,1461.0,49.0,8.0,936.0
15000,2013,53772,1561.0,48.0,15.0,956.0
16995,2017,2880,1852.0,50.0,27.0,2489.0
11000,2014,32147,2101.0,21.0,22.0,872.0
